28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:03; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:41:53; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:41:42; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:40:30; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:40:14; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:40:08; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:37:59; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:37:35; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:37:31; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:37:27; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:37:21; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
